date,line,shift,planned_min,downtime_min,ideal_units_per_min,total_units,good_units,scrap_units,downtime_reason
2026-04-15,Line B,A,480,45,1.6,535,501,34,Quality Hold
2026-04-15,Line B,B,480,45,1.6,713,704,9,No Downtime
2026-04-15,Line B,C,480,30,1.6,565,558,7,No Downtime
2026-04-15,Line C,A,480,0,1.6,717,688,29,Material Shortage
2026-04-15,Line C,B,480,30,1.6,629,583,46,Material Shortage
2026-04-15,Line C,C,480,30,1.6,486,469,17,Material Shortage
2026-04-15,Line D,A,480,90,1.6,455,422,33,Machine Failure
2026-04-15,Line D,B,480,20,1.6,705,659,46,No Downtime
2026-04-15,Line D,C,480,30,1.6,639,611,28,Planned Maintenance
2026-04-16,Line A,A,480,20,1.6,694,655,39,Material Shortage
2026-04-16,Line A,B,480,45,1.6,692,652,40,Quality Hold
2026-04-16,Line A,C,480,20,1.6,422,387,35,Machine Failure
2026-04-16,Line B,A,480,45,1.6,551,496,55,Changeover
2026-04-16,Line B,B,480,20,1.6,422,376,46,No Downtime
2026-04-16,Line B,C,480,10,1.6,549,536,13,Planned Maintenance
2026-04-16,Line C,A,480,20,1.6,540,489,51,Material Shortage
2026-04-16,Line C,B,480,20,1.6,686,640,46,Planned Maintenance
2026-04-16,Line C,C,480,0,1.6,637,611,26,No Downtime
2026-04-16,Line D,A,480,30,1.6,700,668,32,Quality Hold
2026-04-16,Line D,B,480,30,1.6,671,629,42,Machine Failure
2026-04-16,Line D,C,480,20,1.6,576,565,11,Machine Failure
2026-04-17,Line A,A,480,10,1.6,606,585,21,Machine Failure
2026-04-17,Line A,B,480,120,1.6,542,509,33,Changeover
2026-04-17,Line A,C,480,20,1.6,717,692,25,Machine Failure
2026-04-17,Line B,A,480,90,1.6,585,565,20,No Downtime
2026-04-17,Line B,B,480,20,1.6,493,474,19,Machine Failure
2026-04-17,Line B,C,480,20,1.6,733,677,56,Planned Maintenance
2026-04-17,Line C,A,480,0,1.6,484,432,52,Machine Failure
2026-04-17,Line C,B,480,20,1.6,474,465,9,Machine Failure
2026-04-17,Line C,C,480,20,1.6,502,452,50,Changeover
2026-04-17,Line D,A,480,20,1.6,705,656,49,Planned Maintenance
2026-04-17,Line D,B,480,20,1.6,679,654,25,Quality Hold
2026-04-17,Line D,C,480,10,1.6,585,551,34,Machine Failure
2026-04-18,Line A,A,480,45,1.6,693,646,47,Quality Hold
2026-04-18,Line A,B,480,45,1.6,407,370,37,Planned Maintenance
2026-04-18,Line A,C,480,20,1.6,448,440,8,Material Shortage
2026-04-18,Line B,A,480,10,1.6,626,602,24,Quality Hold
2026-04-18,Line B,B,480,20,1.6,489,449,40,No Downtime
2026-04-18,Line B,C,480,20,1.6,460,445,15,Quality Hold
2026-04-18,Line C,A,480,30,1.6,426,410,16,Material Shortage
2026-04-18,Line C,B,480,10,1.6,757,705,52,Machine Failure
2026-04-18,Line C,C,480,10,1.6,504,496,8,Quality Hold
2026-04-18,Line D,A,480,45,1.6,532,506,26,Planned Maintenance
2026-04-18,Line D,B,480,10,1.6,421,409,12,Material Shortage
2026-04-18,Line D,C,480,45,1.6,493,468,25,Changeover
2026-04-19,Line A,A,480,90,1.6,495,454,41,Quality Hold
2026-04-19,Line A,B,480,45,1.6,605,579,26,Planned Maintenance
2026-04-19,Line A,C,480,20,1.6,449,430,19,No Downtime
2026-04-19,Line B,A,480,20,1.6,519,511,8,Material Shortage
2026-04-19,Line B,B,480,20,1.6,475,435,40,Changeover
2026-04-19,Line B,C,480,0,1.6,424,400,24,Machine Failure
2026-04-19,Line C,A,480,10,1.6,727,670,57,Machine Failure
2026-04-19,Line C,B,480,10,1.6,386,359,27,Material Shortage
2026-04-19,Line C,C,480,20,1.6,668,663,5,Material Shortage
2026-04-19,Line D,A,480,0,1.6,525,519,6,Machine Failure
2026-04-19,Line D,B,480,60,1.6,553,538,15,Changeover
2026-04-19,Line D,C,480,20,1.6,628,578,50,Changeover
2026-04-20,Line A,A,480,60,1.6,611,598,13,Quality Hold
2026-04-20,Line A,B,480,90,1.6,728,691,37,Planned Maintenance
2026-04-20,Line A,C,480,0,1.6,400,359,41,No Downtime
2026-04-20,Line B,A,480,45,1.6,628,572,56,Machine Failure
2026-04-20,Line B,B,480,120,1.6,419,366,53,Material Shortage
2026-04-20,Line B,C,480,10,1.6,415,392,23,Material Shortage
2026-04-20,Line C,A,480,60,1.6,656,601,55,No Downtime
2026-04-20,Line C,B,480,30,1.6,762,716,46,Quality Hold
2026-04-20,Line C,C,480,45,1.6,529,493,36,Machine Failure
2026-04-20,Line D,A,480,30,1.6,749,702,47,Changeover
2026-04-20,Line D,B,480,20,1.6,453,447,6,Changeover
2026-04-20,Line D,C,480,45,1.6,654,617,37,Changeover
2026-04-21,Line A,A,480,60,1.6,748,702,46,Material Shortage
2026-04-21,Line A,B,480,0,1.6,502,474,28,Material Shortage
2026-04-21,Line A,C,480,10,1.6,471,450,21,No Downtime
2026-04-21,Line B,A,480,90,1.6,520,515,5,Machine Failure
2026-04-21,Line B,B,480,90,1.6,659,617,42,Changeover
2026-04-21,Line B,C,480,20,1.6,689,665,24,Material Shortage
2026-04-21,Line C,A,480,45,1.6,717,699,18,Material Shortage
2026-04-21,Line C,B,480,60,1.6,409,402,7,Planned Maintenance
2026-04-21,Line C,C,480,10,1.6,453,434,19,Planned Maintenance
2026-04-21,Line D,A,480,10,1.6,741,697,44,Planned Maintenance
2026-04-21,Line D,B,480,0,1.6,515,466,49,Quality Hold
2026-04-21,Line D,C,480,20,1.6,417,393,24,Material Shortage
2026-04-22,Line A,A,480,30,1.6,456,405,51,Quality Hold
2026-04-22,Line A,B,480,10,1.6,427,381,46,Planned Maintenance
2026-04-22,Line A,C,480,30,1.6,708,686,22,Quality Hold
2026-04-22,Line B,A,480,20,1.6,625,582,43,No Downtime
2026-04-22,Line B,B,480,10,1.6,661,615,46,No Downtime
2026-04-22,Line B,C,480,45,1.6,599,585,14,Changeover
2026-04-22,Line C,A,480,45,1.6,455,412,43,Material Shortage
2026-04-22,Line C,B,480,0,1.6,515,493,22,No Downtime
2026-04-22,Line C,C,480,45,1.6,450,434,16,No Downtime
2026-04-22,Line D,A,480,10,1.6,672,620,52,Changeover
2026-04-22,Line D,B,480,60,1.6,533,504,29,Changeover
2026-04-22,Line D,C,480,10,1.6,489,456,33,Material Shortage
2026-04-23,Line A,A,480,10,1.6,592,573,19,Machine Failure
2026-04-23,Line A,B,480,0,1.6,461,413,48,Changeover
2026-04-23,Line A,C,480,10,1.6,527,482,45,No Downtime
2026-04-23,Line B,A,480,10,1.6,700,691,9,Quality Hold
2026-04-23,Line B,B,480,20,1.6,553,544,9,Changeover
2026-04-23,Line B,C,480,90,1.6,446,396,50,Changeover
2026-04-23,Line C,A,480,60,1.6,486,478,8,No Downtime
2026-04-23,Line C,B,480,60,1.6,627,570,57,No Downtime
2026-04-23,Line C,C,480,0,1.6,563,530,33,Machine Failure
2026-04-23,Line D,A,480,45,1.6,532,486,46,Material Shortage
2026-04-23,Line D,B,480,10,1.6,505,456,49,Changeover
2026-04-23,Line D,C,480,20,1.6,569,523,46,No Downtime
2026-04-24,Line A,A,480,10,1.6,506,499,7,Planned Maintenance
2026-04-24,Line A,B,480,0,1.6,509,495,14,Material Shortage
2026-04-24,Line A,C,480,30,1.6,493,436,57,Quality Hold
2026-04-24,Line B,A,480,30,1.6,612,564,48,Machine Failure
2026-04-24,Line B,B,480,30,1.6,649,603,46,Planned Maintenance
2026-04-24,Line B,C,480,60,1.6,626,568,58,Quality Hold
2026-04-24,Line C,A,480,10,1.6,556,519,37,Planned Maintenance
2026-04-24,Line C,B,480,0,1.6,565,531,34,Quality Hold
2026-04-24,Line C,C,480,60,1.6,576,564,12,Planned Maintenance
2026-04-24,Line D,A,480,45,1.6,573,551,22,Changeover
2026-04-24,Line D,B,480,10,1.6,659,634,25,Planned Maintenance
2026-04-24,Line D,C,480,45,1.6,564,550,14,Quality Hold
2026-04-25,Line A,A,480,0,1.6,705,656,49,Planned Maintenance
2026-04-25,Line A,B,480,0,1.6,717,691,26,Machine Failure
2026-04-25,Line A,C,480,0,1.6,624,573,51,Machine Failure
2026-04-25,Line B,A,480,0,1.6,720,686,34,Machine Failure
2026-04-25,Line B,B,480,10,1.6,562,532,30,Changeover
2026-04-25,Line B,C,480,0,1.6,738,690,48,Machine Failure
2026-04-25,Line C,A,480,20,1.6,743,710,33,Quality Hold
2026-04-25,Line C,B,480,20,1.6,668,625,43,Material Shortage
2026-04-25,Line C,C,480,20,1.6,626,567,59,Planned Maintenance
2026-04-25,Line D,A,480,0,1.6,656,627,29,Planned Maintenance
2026-04-25,Line D,B,480,10,1.6,721,674,47,Machine Failure
2026-04-25,Line D,C,480,90,1.6,389,354,35,Material Shortage
2026-04-26,Line A,A,480,20,1.6,614,573,41,Machine Failure
2026-04-26,Line A,B,480,0,1.6,569,537,32,Material Shortage
2026-04-26,Line A,C,480,10,1.6,716,709,7,No Downtime
2026-04-26,Line B,A,480,0,1.6,468,430,38,Changeover
2026-04-26,Line B,B,480,20,1.6,537,500,37,Planned Maintenance
2026-04-26,Line B,C,480,0,1.6,472,453,19,Machine Failure
2026-04-26,Line C,A,480,45,1.6,654,635,19,Machine Failure
2026-04-26,Line C,B,480,45,1.6,551,499,52,Changeover
2026-04-26,Line C,C,480,90,1.6,603,548,55,Changeover
2026-04-26,Line D,A,480,45,1.6,496,464,32,Machine Failure
2026-04-26,Line D,B,480,0,1.6,738,709,29,Machine Failure
2026-04-26,Line D,C,480,90,1.6,614,572,42,Material Shortage
2026-04-27,Line A,A,480,45,1.6,685,654,31,No Downtime
2026-04-27,Line A,B,480,120,1.6,413,398,15,Planned Maintenance
2026-04-27,Line A,C,480,0,1.6,463,409,54,No Downtime
2026-04-27,Line B,A,480,0,1.6,438,388,50,Machine Failure
2026-04-27,Line B,B,480,90,1.6,696,690,6,Changeover
2026-04-27,Line B,C,480,30,1.6,741,689,52,Material Shortage
2026-04-27,Line C,A,480,30,1.6,721,691,30,No Downtime
2026-04-27,Line C,B,480,45,1.6,609,558,51,Planned Maintenance
2026-04-27,Line C,C,480,120,1.6,585,572,13,No Downtime
2026-04-27,Line D,A,480,20,1.6,691,650,41,Planned Maintenance
2026-04-27,Line D,B,480,90,1.6,435,376,59,Changeover
2026-04-27,Line D,C,480,20,1.6,469,448,21,No Downtime
2026-04-28,Line A,A,480,90,1.6,623,598,25,Changeover
2026-04-28,Line A,B,480,20,1.6,743,697,46,Changeover
2026-04-28,Line A,C,480,45,1.6,411,381,30,Changeover
2026-04-28,Line B,A,480,20,1.6,526,515,11,Changeover
2026-04-28,Line B,B,480,0,1.6,413,405,8,Planned Maintenance
2026-04-28,Line B,C,480,30,1.6,658,628,30,Planned Maintenance
2026-04-28,Line C,A,480,60,1.6,554,537,17,Quality Hold
2026-04-28,Line C,B,480,10,1.6,464,436,28,Machine Failure
2026-04-28,Line C,C,480,45,1.6,629,604,25,Changeover
2026-04-28,Line D,A,480,30,1.6,517,469,48,Machine Failure
2026-04-28,Line D,B,480,0,1.6,760,717,43,Material Shortage
2026-04-28,Line D,C,480,10,1.6,660,629,31,Quality Hold
2026-04-29,Line A,A,480,0,1.6,651,624,27,No Downtime
2026-04-29,Line A,B,480,10,1.6,604,563,41,Changeover
2026-04-29,Line A,C,480,30,1.6,665,628,37,Planned Maintenance
2026-04-29,Line B,A,480,45,1.6,422,407,15,Material Shortage
2026-04-29,Line B,B,480,120,1.6,480,464,16,Planned Maintenance
2026-04-29,Line B,C,480,10,1.6,458,443,15,No Downtime
2026-04-29,Line C,A,480,10,1.6,554,516,38,Material Shortage
2026-04-29,Line C,B,480,120,1.6,764,716,48,Material Shortage
2026-04-29,Line C,C,480,30,1.6,714,676,38,Machine Failure
2026-04-29,Line D,A,480,10,1.6,646,609,37,Machine Failure
2026-04-29,Line D,B,480,0,1.6,498,492,6,Planned Maintenance
2026-04-29,Line D,C,480,0,1.6,598,553,45,Machine Failure
2026-04-30,Line A,A,480,10,1.6,561,553,8,Quality Hold
2026-04-30,Line A,B,480,90,1.6,419,361,58,Changeover
2026-04-30,Line A,C,480,10,1.6,610,567,43,No Downtime
2026-04-30,Line B,A,480,10,1.6,379,353,26,No Downtime
2026-04-30,Line B,B,480,90,1.6,459,420,39,No Downtime
2026-04-30,Line B,C,480,10,1.6,412,384,28,Material Shortage
2026-04-30,Line C,A,480,10,1.6,722,716,6,Material Shortage
2026-04-30,Line C,B,480,30,1.6,412,396,16,Material Shortage
2026-04-30,Line C,C,480,0,1.6,668,614,54,Changeover
2026-04-30,Line D,A,480,10,1.6,488,474,14,Material Shortage
2026-04-30,Line D,B,480,60,1.6,584,542,42,Material Shortage
2026-04-30,Line D,C,480,30,1.6,558,552,6,Material Shortage
2026-05-01,Line A,A,480,10,1.6,472,435,37,Planned Maintenance
2026-05-01,Line A,B,480,60,1.6,757,702,55,Quality Hold
2026-05-01,Line A,C,480,20,1.6,430,425,5,Material Shortage
2026-05-01,Line B,A,480,0,1.6,691,679,12,Material Shortage
2026-05-01,Line B,B,480,45,1.6,697,648,49,No Downtime
2026-05-01,Line B,C,480,20,1.6,681,641,40,Machine Failure
2026-05-01,Line C,A,480,0,1.6,484,433,51,Machine Failure
2026-05-01,Line C,B,480,10,1.6,766,711,55,No Downtime
2026-05-01,Line C,C,480,20,1.6,707,685,22,Changeover
2026-05-01,Line D,A,480,0,1.6,580,536,44,Changeover
2026-05-01,Line D,B,480,10,1.6,477,433,44,Planned Maintenance
2026-05-01,Line D,C,480,60,1.6,588,535,53,No Downtime
2026-05-02,Line A,A,480,10,1.6,664,644,20,No Downtime
2026-05-02,Line A,B,480,20,1.6,708,697,11,Material Shortage
2026-05-02,Line A,C,480,0,1.6,556,497,59,Planned Maintenance
2026-05-02,Line B,A,480,0,1.6,605,564,41,Quality Hold
2026-05-02,Line B,B,480,20,1.6,623,595,28,No Downtime
2026-05-02,Line B,C,480,90,1.6,719,701,18,Material Shortage
2026-05-02,Line C,A,480,0,1.6,495,468,27,Planned Maintenance
2026-05-02,Line C,B,480,30,1.6,716,658,58,Planned Maintenance
2026-05-02,Line C,C,480,30,1.6,409,393,16,Changeover
2026-05-02,Line D,A,480,0,1.6,680,652,28,Planned Maintenance
2026-05-02,Line D,B,480,10,1.6,494,464,30,Changeover
2026-05-02,Line D,C,480,30,1.6,728,710,18,Material Shortage
2026-05-03,Line A,A,480,20,1.6,454,413,41,Machine Failure
2026-05-03,Line A,B,480,10,1.6,415,370,45,Material Shortage
2026-05-03,Line A,C,480,30,1.6,645,620,25,No Downtime
2026-05-03,Line B,A,480,10,1.6,588,536,52,Quality Hold
2026-05-03,Line B,B,480,0,1.6,593,539,54,Machine Failure
2026-05-03,Line B,C,480,20,1.6,750,705,45,Changeover
2026-05-03,Line C,A,480,60,1.6,644,624,20,Quality Hold
2026-05-03,Line C,B,480,10,1.6,693,647,46,Planned Maintenance
2026-05-03,Line C,C,480,10,1.6,596,558,38,Machine Failure
2026-05-03,Line D,A,480,0,1.6,711,692,19,Planned Maintenance
2026-05-03,Line D,B,480,30,1.6,557,532,25,No Downtime
2026-05-03,Line D,C,480,0,1.6,513,479,34,Machine Failure
2026-05-04,Line A,A,480,30,1.6,384,374,10,Quality Hold
2026-05-04,Line A,B,480,120,1.6,626,597,29,No Downtime
2026-05-04,Line A,C,480,90,1.6,637,588,49,Planned Maintenance
2026-05-04,Line B,A,480,120,1.6,443,415,28,Machine Failure
2026-05-04,Line B,B,480,60,1.6,504,451,53,Material Shortage
2026-05-04,Line B,C,480,30,1.6,618,580,38,Machine Failure
2026-05-04,Line C,A,480,20,1.6,722,702,20,Quality Hold
2026-05-04,Line C,B,480,0,1.6,407,396,11,Planned Maintenance
2026-05-04,Line C,C,480,90,1.6,631,619,12,No Downtime
2026-05-04,Line D,A,480,10,1.6,399,354,45,Material Shortage
2026-05-04,Line D,B,480,10,1.6,705,668,37,Machine Failure
2026-05-04,Line D,C,480,20,1.6,549,506,43,Machine Failure
2026-05-05,Line A,A,480,30,1.6,506,486,20,Planned Maintenance
2026-05-05,Line A,B,480,20,1.6,540,497,43,No Downtime
